Name,Year,URL
Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/
All About Lily Chou-Chou,2001,https://letterboxd.com/film/all-about-lily-chou-chou/
Chungking Express,1994,https://letterboxd.com/film/chungking-express/
Drive,2011,https://letterboxd.com/film/drive-2011/
Frances Ha,2012,https://letterboxd.com/film/frances-ha/
"Right Now, Wrong Then",2015,https://letterboxd.com/film/right-now-wrong-then/
A Woman Under the Influence,1974,https://letterboxd.com/film/a-woman-under-the-influence/
Lars and the Real Girl,2007,https://letterboxd.com/film/lars-and-the-real-girl/
Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/
Pain and Glory,2019,https://letterboxd.com/film/pain-and-glory/
Three Colors: Red,1994,https://letterboxd.com/film/three-colors-red/
Amélie,2001,https://letterboxd.com/film/amelie/
Moving,1993,https://letterboxd.com/film/moving-1993/
In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
Yi Yi,2000,https://letterboxd.com/film/yi-yi/
Her,2013,https://letterboxd.com/film/her/
"Love, Simon",2018,https://letterboxd.com/film/love-simon/
Blow-Up,1966,https://letterboxd.com/film/blow-up/
The Apartment,1960,https://letterboxd.com/film/the-apartment/
Hiroshima Mon Amour,1959,https://letterboxd.com/film/hiroshima-mon-amour/
I Stand Alone,1998,https://letterboxd.com/film/i-stand-alone/
Cries and Whispers,1972,https://letterboxd.com/film/cries-and-whispers/
Solaris,1972,https://letterboxd.com/film/solaris/
Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/
Neon Genesis Evangelion: Death and Rebirth,1997,https://letterboxd.com/film/neon-genesis-evangelion-death-and-rebirth/
What Time Is It There?,2001,https://letterboxd.com/film/what-time-is-it-there/
Mary and Max,2009,https://letterboxd.com/film/mary-and-max/
The Artist,2011,https://letterboxd.com/film/the-artist/
James White,2015,https://letterboxd.com/film/james-white/
Moon,2009,https://letterboxd.com/film/moon/
Gravity,2013,https://letterboxd.com/film/gravity-2013/
Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/
Harold and Maude,1971,https://letterboxd.com/film/harold-and-maude/
Once,2007,https://letterboxd.com/film/once/
A Silent Voice,2016,https://letterboxd.com/film/a-silent-voice/
Up in the Air,2009,https://letterboxd.com/film/up-in-the-air/
Detachment,2011,https://letterboxd.com/film/detachment/
An Elephant Sitting Still,2018,https://letterboxd.com/film/an-elephant-sitting-still/
Au Hasard Balthazar,1966,https://letterboxd.com/film/au-hasard-balthazar/
Le Samouraï,1967,https://letterboxd.com/film/le-samourai/
Late Spring,1949,https://letterboxd.com/film/late-spring/
Inside Llewyn Davis,2013,https://letterboxd.com/film/inside-llewyn-davis/
The Last Black Man in San Francisco,2019,https://letterboxd.com/film/the-last-black-man-in-san-francisco/
Sideways,2004,https://letterboxd.com/film/sideways/
Sharp Objects,2018,https://letterboxd.com/film/sharp-objects/
Fallen Angels,1995,https://letterboxd.com/film/fallen-angels/
Melancholia,2011,https://letterboxd.com/film/melancholia/
Wings of Desire,1987,https://letterboxd.com/film/wings-of-desire/
Toni Erdmann,2016,https://letterboxd.com/film/toni-erdmann/
Our Little Sister,2015,https://letterboxd.com/film/our-little-sister/
Shoplifters,2018,https://letterboxd.com/film/shoplifters/
The Terminal,2004,https://letterboxd.com/film/the-terminal/
Anomalisa,2015,https://letterboxd.com/film/anomalisa/
Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
Never Let Me Go,2010,https://letterboxd.com/film/never-let-me-go-2010/
Can You Ever Forgive Me?,2018,https://letterboxd.com/film/can-you-ever-forgive-me/
Black Swan,2010,https://letterboxd.com/film/black-swan/
Nobody Knows,2004,https://letterboxd.com/film/nobody-knows/
Cast Away,2000,https://letterboxd.com/film/cast-away/
Castaway on the Moon,2009,https://letterboxd.com/film/castaway-on-the-moon/
The Royal Tenenbaums,2001,https://letterboxd.com/film/the-royal-tenenbaums/
Mississippi Grind,2015,https://letterboxd.com/film/mississippi-grind/
Incendies,2010,https://letterboxd.com/film/incendies/
Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/
Monster,2003,https://letterboxd.com/film/monster/
Lovesong,2016,https://letterboxd.com/film/lovesong-2016/
Columbus,2017,https://letterboxd.com/film/columbus-2017/
"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/
Atonement,2007,https://letterboxd.com/film/atonement/
Life of Pi,2012,https://letterboxd.com/film/life-of-pi/
The Rider,2017,https://letterboxd.com/film/the-rider/
American Beauty,1999,https://letterboxd.com/film/american-beauty/
Buffalo '66,1998,https://letterboxd.com/film/buffalo-66/
The Wrestler,2008,https://letterboxd.com/film/the-wrestler/
The Fountain,2006,https://letterboxd.com/film/the-fountain/
Magnolia,1999,https://letterboxd.com/film/magnolia/
"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
Roma,2018,https://letterboxd.com/film/roma-2018/
Wild Strawberries,1957,https://letterboxd.com/film/wild-strawberries/
It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/
Winter Light,1963,https://letterboxd.com/film/winter-light/
Persona,1966,https://letterboxd.com/film/persona/
Vivre Sa Vie,1962,https://letterboxd.com/film/vivre-sa-vie/
The Deer Hunter,1978,https://letterboxd.com/film/the-deer-hunter/
Cold War,2018,https://letterboxd.com/film/cold-war-2018/
Nebraska,2013,https://letterboxd.com/film/nebraska/
