Name,Year,URL
12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/
8½,1963,https://letterboxd.com/film/8-half/
A Brighter Summer Day,1991,https://letterboxd.com/film/a-brighter-summer-day/
Airplane!,1980,https://letterboxd.com/film/airplane/
Alien,1979,https://letterboxd.com/film/alien/
All About Eve,1950,https://letterboxd.com/film/all-about-eve/
All That Jazz,1979,https://letterboxd.com/film/all-that-jazz/
American Graffiti,1973,https://letterboxd.com/film/american-graffiti/
Badlands,1973,https://letterboxd.com/film/badlands/
Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/
Blade Runner,1982,https://letterboxd.com/film/blade-runner/
Blue Velvet,1986,https://letterboxd.com/film/blue-velvet/
Brazil,1985,https://letterboxd.com/film/brazil/
Brief Encounter,1945,https://letterboxd.com/film/brief-encounter/
Butch Cassidy and the Sundance Kid,1969,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
Cabaret,1972,https://letterboxd.com/film/cabaret/
Cast Away,2000,https://letterboxd.com/film/cast-away/
Charade,1963,https://letterboxd.com/film/charade/
Children of Men,2006,https://letterboxd.com/film/children-of-men/
Chinatown,1974,https://letterboxd.com/film/chinatown/
Citizen Kane,1941,https://letterboxd.com/film/citizen-kane/
City of God,2002,https://letterboxd.com/film/city-of-god/
Cries and Whispers,1972,https://letterboxd.com/film/cries-and-whispers/
Days of Heaven,1978,https://letterboxd.com/film/days-of-heaven/
Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
Eraserhead,1977,https://letterboxd.com/film/eraserhead/
Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
Fantastic Planet,1973,https://letterboxd.com/film/fantastic-planet/
Full Metal Jacket,1987,https://letterboxd.com/film/full-metal-jacket/
Gangs of New York,2002,https://letterboxd.com/film/gangs-of-new-york-2002/
Gigi,1958,https://letterboxd.com/film/gigi/
Gone with the Wind,1939,https://letterboxd.com/film/gone-with-the-wind/
GoodFellas,1990,https://letterboxd.com/film/goodfellas/
Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/
His Girl Friday,1940,https://letterboxd.com/film/his-girl-friday/
House,1977,https://letterboxd.com/film/house/
Ikiru,1952,https://letterboxd.com/film/ikiru/
