Name,Year,URL
My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/
Won't You Be My Neighbor?,2018,https://letterboxd.com/film/wont-you-be-my-neighbor/
Ikiru,1952,https://letterboxd.com/film/ikiru/
Spirited Away,2001,https://letterboxd.com/film/spirited-away/
Supa Modo,2018,https://letterboxd.com/film/supa-modo/
Toni Erdmann,2016,https://letterboxd.com/film/toni-erdmann/
Liz and the Blue Bird,2018,https://letterboxd.com/film/liz-and-the-blue-bird/
E.T. the Extra-Terrestrial,1982,https://letterboxd.com/film/et-the-extra-terrestrial/
Hunt for the Wilderpeople,2016,https://letterboxd.com/film/hunt-for-the-wilderpeople/
Red Beard,1965,https://letterboxd.com/film/red-beard/
"Spring, Summer, Fall, Winter... and Spring",2003,https://letterboxd.com/film/spring-summer-fall-winter-and-spring/
Wild Strawberries,1957,https://letterboxd.com/film/wild-strawberries/
WALL·E,2008,https://letterboxd.com/film/walle/
Girlhood,2014,https://letterboxd.com/film/girlhood-2014/
Kiki's Delivery Service,1989,https://letterboxd.com/film/kikis-delivery-service/
37 Seconds,2019,https://letterboxd.com/film/37-seconds/
A Beautiful Day in the Neighborhood,2019,https://letterboxd.com/film/a-beautiful-day-in-the-neighborhood/
House of Hummingbird,2018,https://letterboxd.com/film/house-of-hummingbird/
Ivan's Childhood,1962,https://letterboxd.com/film/ivans-childhood/
Up,2009,https://letterboxd.com/film/up/
The Personal History of David Copperfield,2019,https://letterboxd.com/film/the-personal-history-of-david-copperfield/
Yi Yi,2000,https://letterboxd.com/film/yi-yi/
Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
The House of Us,2019,https://letterboxd.com/film/the-house-of-us/
Ali: Fear Eats the Soul,1974,https://letterboxd.com/film/ali-fear-eats-the-soul/
And Then We Danced,2019,https://letterboxd.com/film/and-then-we-danced/
The Farewell,2019,https://letterboxd.com/film/the-farewell-2019/
Mary Poppins,1964,https://letterboxd.com/film/mary-poppins/
The Florida Project,2017,https://letterboxd.com/film/the-florida-project/
The Rider,2017,https://letterboxd.com/film/the-rider/
Shoah,1985,https://letterboxd.com/film/shoah/
The Tale of the Princess Kaguya,2013,https://letterboxd.com/film/the-tale-of-the-princess-kaguya/
Okja,2017,https://letterboxd.com/film/okja/
Wolf Children,2012,https://letterboxd.com/film/wolf-children/
Columbus,2017,https://letterboxd.com/film/columbus-2017/
Bicycle Thieves,1948,https://letterboxd.com/film/bicycle-thieves/
Ethel & Ernest,2016,https://letterboxd.com/film/ethel-ernest/
Fish Tank,2009,https://letterboxd.com/film/fish-tank/
American Honey,2016,https://letterboxd.com/film/american-honey/
One Wonderful Sunday,1947,https://letterboxd.com/film/one-wonderful-sunday/
Tomboy,2011,https://letterboxd.com/film/tomboy-2011/
Beasts of the Southern Wild,2012,https://letterboxd.com/film/beasts-of-the-southern-wild/
Toy Story,1995,https://letterboxd.com/film/toy-story/
Toy Story 2,1999,https://letterboxd.com/film/toy-story-2/
Toy Story 3,2010,https://letterboxd.com/film/toy-story-3/
Toy Story 4,2019,https://letterboxd.com/film/toy-story-4/
Chungking Express,1994,https://letterboxd.com/film/chungking-express/
If You Were Me,2003,https://letterboxd.com/film/if-you-were-me/
Fireworks,1997,https://letterboxd.com/film/fireworks-1997/
Finding Nemo,2003,https://letterboxd.com/film/finding-nemo/
Life Is Sweet,1990,https://letterboxd.com/film/life-is-sweet/
Secrets & Lies,1996,https://letterboxd.com/film/secrets-lies/
Happy-Go-Lucky,2008,https://letterboxd.com/film/happy-go-lucky/
Nights of Cabiria,1957,https://letterboxd.com/film/nights-of-cabiria/
Paddington,2014,https://letterboxd.com/film/paddington/
Paddington 2,2017,https://letterboxd.com/film/paddington-2/
Inside Out,2015,https://letterboxd.com/film/inside-out-2015/
The Nice Guys,2016,https://letterboxd.com/film/the-nice-guys/
Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/
Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/
Some Like It Hot,1959,https://letterboxd.com/film/some-like-it-hot/
The Apartment,1960,https://letterboxd.com/film/the-apartment/
The Shop Around the Corner,1940,https://letterboxd.com/film/the-shop-around-the-corner/
The Little Prince,2015,https://letterboxd.com/film/the-little-prince-2015/
The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/
The Intouchables,2011,https://letterboxd.com/film/the-intouchables/
Matilda,1996,https://letterboxd.com/film/matilda/
Captain Fantastic,2016,https://letterboxd.com/film/captain-fantastic/
The BFG,1989,https://letterboxd.com/film/the-bfg/
The Sound of Music,1965,https://letterboxd.com/film/the-sound-of-music/
Kedi,2016,https://letterboxd.com/film/kedi-2016/
The Great Buster: A Celebration,2018,https://letterboxd.com/film/the-great-buster-a-celebration/
Crip Camp: A Disability Revolution,2020,https://letterboxd.com/film/crip-camp-a-disability-revolution/
Little Dieter Needs to Fly,1997,https://letterboxd.com/film/little-dieter-needs-to-fly/
América,2018,https://letterboxd.com/film/america-2018-1/
5B,2018,https://letterboxd.com/film/5b/
Maiden,2018,https://letterboxd.com/film/maiden-2018/
The Work,2017,https://letterboxd.com/film/the-work/
Intelligent Lives,2018,https://letterboxd.com/film/intelligent-lives/
Pick of the Litter,2018,https://letterboxd.com/film/pick-of-the-litter/
Gleason,2016,https://letterboxd.com/film/gleason-2016/
Perfectly Normal for Me,2017,https://letterboxd.com/film/perfectly-normal-for-me/
Uncle Boonmee Who Can Recall His Past Lives,2010,https://letterboxd.com/film/uncle-boonmee-who-can-recall-his-past-lives/
Cemetery of Splendour,2015,https://letterboxd.com/film/cemetery-of-splendour/
A Man There Was,1917,https://letterboxd.com/film/a-man-there-was/
Where Is My Friend's House?,1987,https://letterboxd.com/film/where-is-my-friends-house/
Solaris,1972,https://letterboxd.com/film/solaris/
Ordet,1955,https://letterboxd.com/film/ordet/
Princess Yang Kwei Fei,1955,https://letterboxd.com/film/princess-yang-kwei-fei/
Ugetsu,1953,https://letterboxd.com/film/ugetsu/
"Life, and Nothing More...",1992,https://letterboxd.com/film/life-and-nothing-more/
Walkabout,1971,https://letterboxd.com/film/walkabout/
Beauty and the Beast,1946,https://letterboxd.com/film/beauty-and-the-beast/
Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/
Whisper of the Heart,1995,https://letterboxd.com/film/whisper-of-the-heart/
Umberto D.,1952,https://letterboxd.com/film/umberto-d/
The Cave of the Yellow Dog,2005,https://letterboxd.com/film/the-cave-of-the-yellow-dog/
Simple Simon,2010,https://letterboxd.com/film/simple-simon/
Travellers and Magicians,2003,https://letterboxd.com/film/travellers-and-magicians/
Bye Bye Blue Bird,1999,https://letterboxd.com/film/bye-bye-blue-bird/
Song of the Exile,1990,https://letterboxd.com/film/song-of-the-exile/
I Want to Deliver Your Voice,2017,https://letterboxd.com/film/i-want-to-deliver-your-voice/
Tamako Love Story,2014,https://letterboxd.com/film/tamako-love-story/
K-On! The Movie,2011,https://letterboxd.com/film/k-on-the-movie/
My Sister Momoko,2003,https://letterboxd.com/film/my-sister-momoko/
Junkers Come Here,1994,https://letterboxd.com/film/junkers-come-here/
Comet in Moominland,1992,https://letterboxd.com/film/comet-in-moominland/
Kayoko's Diary,1991,https://letterboxd.com/film/kayokos-diary/
The Mermaid,1965,https://letterboxd.com/film/the-mermaid-1965/
Song of the Sea,2014,https://letterboxd.com/film/song-of-the-sea/
Klaus,2019,https://letterboxd.com/film/klaus/
Coco,2017,https://letterboxd.com/film/coco-2017/
Winnie the Pooh,2011,https://letterboxd.com/film/winnie-the-pooh/
"Monsters, Inc.",2001,https://letterboxd.com/film/monsters-inc/
Ernest & Celestine,2012,https://letterboxd.com/film/ernest-celestine/
The Shape of Water,2017,https://letterboxd.com/film/the-shape-of-water/
Moonlight,2016,https://letterboxd.com/film/moonlight-2016/
Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/
