Name,Year,URL
Arrival,2016,https://letterboxd.com/film/arrival-2016/
Avatar,2009,https://letterboxd.com/film/avatar/
Avengers: Endgame,2019,https://letterboxd.com/film/avengers-endgame/
Babel,2006,https://letterboxd.com/film/babel-2006/
Baby Driver,2017,https://letterboxd.com/film/baby-driver/
Birdman or (The Unexpected Virtue of Ignorance),2014,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
Captain America: Civil War,2016,https://letterboxd.com/film/captain-america-civil-war/
Chungking Express,1994,https://letterboxd.com/film/chungking-express/
Far Cry,2008,https://letterboxd.com/film/far-cry/
Follow Me,2010,https://letterboxd.com/film/follow-me/
Guardians of the Galaxy,2014,https://letterboxd.com/film/guardians-of-the-galaxy/
The Intouchables,2011,https://letterboxd.com/film/the-intouchables/
The Jungle Book,1967,https://letterboxd.com/film/the-jungle-book/
The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/
Madagascar,2005,https://letterboxd.com/film/madagascar/
Paprika,2006,https://letterboxd.com/film/paprika-2006/
The Raid 2,2014,https://letterboxd.com/film/the-raid-2/
Ratatouille,2007,https://letterboxd.com/film/ratatouille/
The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/
The Social Network,2010,https://letterboxd.com/film/the-social-network/
The Sorcerer's Apprentice,2010,https://letterboxd.com/film/the-sorcerers-apprentice-2010/
"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/
Whiplash,2014,https://letterboxd.com/film/whiplash-2014/
La La Land,2016,https://letterboxd.com/film/la-la-land/
It,2017,https://letterboxd.com/film/it-2017/
Dunkirk,2017,https://letterboxd.com/film/dunkirk-2017/
Get Out,2017,https://letterboxd.com/film/get-out-2017/
Cannibal Holocaust,1980,https://letterboxd.com/film/cannibal-holocaust/
Generation Iron,2013,https://letterboxd.com/film/generation-iron/
Us,2019,https://letterboxd.com/film/us-2019/
Gone Girl,2014,https://letterboxd.com/film/gone-girl/
GoodFellas,1990,https://letterboxd.com/film/goodfellas/
The Game,1997,https://letterboxd.com/film/the-game/
Die Ludolfs - Der Film,2009,https://letterboxd.com/film/die-ludolfs-der-film/
Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/
Look Who's Back,2015,https://letterboxd.com/film/look-whos-back-2015/
Zodiac,2007,https://letterboxd.com/film/zodiac/
Fight Club,1999,https://letterboxd.com/film/fight-club/
Se7en,1995,https://letterboxd.com/film/se7en/
Wetlands,2013,https://letterboxd.com/film/wetlands-2013-1/
Inception,2010,https://letterboxd.com/film/inception/
The Wolf of Wall Street,2013,https://letterboxd.com/film/the-wolf-of-wall-street/
