Name,Year,URL
The Age of Innocence,1993,https://letterboxd.com/film/the-age-of-innocence/
All the President's Men,1976,https://letterboxd.com/film/all-the-presidents-men/
Arrival,2016,https://letterboxd.com/film/arrival-2016/
Baby Driver,2017,https://letterboxd.com/film/baby-driver/
Bad Times at the El Royale,2018,https://letterboxd.com/film/bad-times-at-the-el-royale/
Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
Begin Again,2013,https://letterboxd.com/film/begin-again/
Ben Is Back,2018,https://letterboxd.com/film/ben-is-back/
Bernie,2011,https://letterboxd.com/film/bernie-2011/
The Big Sick,2017,https://letterboxd.com/film/the-big-sick/
Billy Elliot,2000,https://letterboxd.com/film/billy-elliot/
BlacKkKlansman,2018,https://letterboxd.com/film/blackkklansman/
Bring It On,2000,https://letterboxd.com/film/bring-it-on/
Chef,2014,https://letterboxd.com/film/chef/
Cold Pursuit,2019,https://letterboxd.com/film/cold-pursuit/
Crawl,2019,https://letterboxd.com/film/crawl-2019/
Dazed and Confused,1993,https://letterboxd.com/film/dazed-and-confused/
Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/
The Descendants,2011,https://letterboxd.com/film/the-descendants/
Dog Day Afternoon,1975,https://letterboxd.com/film/dog-day-afternoon/
Downton Abbey,2019,https://letterboxd.com/film/downton-abbey/
Dumplin',2018,https://letterboxd.com/film/dumplin/
Eddie the Eagle,2015,https://letterboxd.com/film/eddie-the-eagle/
Emma.,2020,https://letterboxd.com/film/emma-2020/
Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/
The Farewell,2019,https://letterboxd.com/film/the-farewell-2019/
The Finest Hours,2016,https://letterboxd.com/film/the-finest-hours-2016/
First Reformed,2017,https://letterboxd.com/film/first-reformed/
Frances Ha,2012,https://letterboxd.com/film/frances-ha/
Game Night,2018,https://letterboxd.com/film/game-night/
Get Out,2017,https://letterboxd.com/film/get-out-2017/
Gifted,2017,https://letterboxd.com/film/gifted-2017/
Gone Baby Gone,2007,https://letterboxd.com/film/gone-baby-gone/
Good Will Hunting,1997,https://letterboxd.com/film/good-will-hunting/
Guess Who's Coming to Dinner,1967,https://letterboxd.com/film/guess-whos-coming-to-dinner/
Hairspray,2007,https://letterboxd.com/film/hairspray-2007/
High School Musical,2006,https://letterboxd.com/film/high-school-musical/
High School Musical 2,2007,https://letterboxd.com/film/high-school-musical-2/
High School Musical 3: Senior Year,2008,https://letterboxd.com/film/high-school-musical-3-senior-year/
His Girl Friday,1940,https://letterboxd.com/film/his-girl-friday/
Hot Fuzz,2007,https://letterboxd.com/film/hot-fuzz/
The Hummingbird Project,2018,https://letterboxd.com/film/the-hummingbird-project/
In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
Inception,2010,https://letterboxd.com/film/inception/
Inside Llewyn Davis,2013,https://letterboxd.com/film/inside-llewyn-davis/
Instant Family,2018,https://letterboxd.com/film/instant-family/
The Invisible Man,2020,https://letterboxd.com/film/the-invisible-man-2020/
The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/
Jackie,2016,https://letterboxd.com/film/jackie-2016/
Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/
Joy,2015,https://letterboxd.com/film/joy-2015/
Jules and Jim,1962,https://letterboxd.com/film/jules-and-jim/
Julie & Julia,2009,https://letterboxd.com/film/julie-julia/
The Kings of Summer,2013,https://letterboxd.com/film/the-kings-of-summer/
Knives Out,2019,https://letterboxd.com/film/knives-out-2019/
La La Land,2016,https://letterboxd.com/film/la-la-land/
Lean on Pete,2017,https://letterboxd.com/film/lean-on-pete/
Leave No Trace,2018,https://letterboxd.com/film/leave-no-trace/
Letters to Juliet,2010,https://letterboxd.com/film/letters-to-juliet/
Light of My Life,2019,https://letterboxd.com/film/light-of-my-life/
Little Women,2019,https://letterboxd.com/film/little-women-2019/
Locke,2013,https://letterboxd.com/film/locke/
Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/
Mamma Mia!,2008,https://letterboxd.com/film/mamma-mia/
Mamma Mia! Here We Go Again,2018,https://letterboxd.com/film/mamma-mia-here-we-go-again/
Marriage Story,2019,https://letterboxd.com/film/marriage-story-2019/
Miss Stevens,2016,https://letterboxd.com/film/miss-stevens/
Music and Lyrics,2007,https://letterboxd.com/film/music-and-lyrics/
Nightcrawler,2014,https://letterboxd.com/film/nightcrawler/
No Country for Old Men,2007,https://letterboxd.com/film/no-country-for-old-men/
No Reservations,2007,https://letterboxd.com/film/no-reservations/
Ocean's Eleven,2001,https://letterboxd.com/film/oceans-eleven-2001/
The Old Man & the Gun,2018,https://letterboxd.com/film/the-old-man-the-gun/
Ordinary People,1980,https://letterboxd.com/film/ordinary-people/
The Outsiders,1983,https://letterboxd.com/film/the-outsiders/
Pan's Labyrinth,2006,https://letterboxd.com/film/pans-labyrinth/
Panic Room,2002,https://letterboxd.com/film/panic-room/
Penelope,2006,https://letterboxd.com/film/penelope/
The Perks of Being a Wallflower,2012,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
Phantom Thread,2017,https://letterboxd.com/film/phantom-thread/
Pride & Prejudice,2005,https://letterboxd.com/film/pride-prejudice/
Rabbit Hole,2010,https://letterboxd.com/film/rabbit-hole/
Rent,2005,https://letterboxd.com/film/rent/
Reservoir Dogs,1992,https://letterboxd.com/film/reservoir-dogs/
Roman Holiday,1953,https://letterboxd.com/film/roman-holiday/
Rushmore,1998,https://letterboxd.com/film/rushmore/
Searching,2018,https://letterboxd.com/film/searching-2018/
Shaun of the Dead,2004,https://letterboxd.com/film/shaun-of-the-dead/
Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/
Some Like It Hot,1959,https://letterboxd.com/film/some-like-it-hot/
Stand by Me,1986,https://letterboxd.com/film/stand-by-me/
A Streetcar Named Desire,1951,https://letterboxd.com/film/a-streetcar-named-desire/
Take Care,2014,https://letterboxd.com/film/take-care/
There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/
Tower Heist,2011,https://letterboxd.com/film/tower-heist/
The Truman Show,1998,https://letterboxd.com/film/the-truman-show/
Warrior,2011,https://letterboxd.com/film/warrior/
Whiplash,2014,https://letterboxd.com/film/whiplash-2014/
Winter's Bone,2010,https://letterboxd.com/film/winters-bone/
The World's End,2013,https://letterboxd.com/film/the-worlds-end/
Zodiac,2007,https://letterboxd.com/film/zodiac/
1917,2019,https://letterboxd.com/film/1917/
