Name,Year,URL
Parasite,2019,https://letterboxd.com/film/parasite-2019/
The Godfather,1972,https://letterboxd.com/film/the-godfather/
Come and See,1985,https://letterboxd.com/film/come-and-see/
The Godfather: Part II,1974,https://letterboxd.com/film/the-godfather-part-ii/
Harakiri,1962,https://letterboxd.com/film/harakiri/
Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/
A Dog's Will,2000,https://letterboxd.com/film/a-dogs-will/
Spirited Away,2001,https://letterboxd.com/film/spirited-away/
A Brighter Summer Day,1991,https://letterboxd.com/film/a-brighter-summer-day/
The Human Condition III: A Soldier's Prayer,1961,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/
Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
High and Low,1963,https://letterboxd.com/film/high-and-low/
The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/
Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/
The Empire Strikes Back,1980,https://letterboxd.com/film/the-empire-strikes-back/
The Dark Knight,2008,https://letterboxd.com/film/the-dark-knight/
GoodFellas,1990,https://letterboxd.com/film/goodfellas/
Satantango,1994,https://letterboxd.com/film/satantango/
Yi Yi,2000,https://letterboxd.com/film/yi-yi/
Schindler's List,1993,https://letterboxd.com/film/schindlers-list/
"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
Stalker,1979,https://letterboxd.com/film/stalker/
Ikiru,1952,https://letterboxd.com/film/ikiru/
The Human Condition I: No Greater Love,1959,https://letterboxd.com/film/the-human-condition-i-no-greater-love/
There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/
Persona,1966,https://letterboxd.com/film/persona/
The Passion of Joan of Arc,1928,https://letterboxd.com/film/the-passion-of-joan-of-arc/
Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/
Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/
Andrei Rublev,1966,https://letterboxd.com/film/andrei-rublev/
Tokyo Story,1953,https://letterboxd.com/film/tokyo-story/
Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/
City of God,2002,https://letterboxd.com/film/city-of-god/
In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
Woman in the Dunes,1964,https://letterboxd.com/film/woman-in-the-dunes/
Ran,1985,https://letterboxd.com/film/ran/
2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/
Whiplash,2014,https://letterboxd.com/film/whiplash-2014/
Paths of Glory,1957,https://letterboxd.com/film/paths-of-glory/
Central Station,1998,https://letterboxd.com/film/central-station/
Rear Window,1954,https://letterboxd.com/film/rear-window/
Fanny and Alexander,1982,https://letterboxd.com/film/fanny-and-alexander/
The Handmaiden,2016,https://letterboxd.com/film/the-handmaiden/
"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
Psycho,1960,https://letterboxd.com/film/psycho/
Le Trou,1960,https://letterboxd.com/film/le-trou/
The Human Condition II: Road to Eternity,1959,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/
The Shining,1980,https://letterboxd.com/film/the-shining/
The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/
Princess Mononoke,1997,https://letterboxd.com/film/princess-mononoke/
Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/
Neon Genesis Evangelion: The End of Evangelion,1997,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/
Scenes from a Marriage,1974,https://letterboxd.com/film/scenes-from-a-marriage/
Ordet,1955,https://letterboxd.com/film/ordet/
Alien,1979,https://letterboxd.com/film/alien/
Once Upon a Time in the West,1968,https://letterboxd.com/film/once-upon-a-time-in-the-west/
A Woman Under the Influence,1974,https://letterboxd.com/film/a-woman-under-the-influence/
Sansho the Bailiff,1954,https://letterboxd.com/film/sansho-the-bailiff/
The Apartment,1960,https://letterboxd.com/film/the-apartment/
The World of Apu,1959,https://letterboxd.com/film/the-world-of-apu/
City Lights,1931,https://letterboxd.com/film/city-lights/
Oldboy,2003,https://letterboxd.com/film/oldboy/
The Thing,1982,https://letterboxd.com/film/the-thing/
Mirror,1975,https://letterboxd.com/film/mirror/
One Flew Over the Cuckoo's Nest,1975,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
Pather Panchali,1955,https://letterboxd.com/film/pather-panchali/
The Red Shoes,1948,https://letterboxd.com/film/the-red-shoes/
Werckmeister Harmonies,2000,https://letterboxd.com/film/werckmeister-harmonies/
M,1931,https://letterboxd.com/film/m/
Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/
Autumn Sonata,1978,https://letterboxd.com/film/autumn-sonata/
Lawrence of Arabia,1962,https://letterboxd.com/film/lawrence-of-arabia/
Late Spring,1949,https://letterboxd.com/film/late-spring/
It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/
Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/
Before Sunset,2004,https://letterboxd.com/film/before-sunset/
The Seventh Seal,1957,https://letterboxd.com/film/the-seventh-seal/
Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/
Singin' in the Rain,1952,https://letterboxd.com/film/singin-in-the-rain/
No Country for Old Men,2007,https://letterboxd.com/film/no-country-for-old-men/
8½,1963,https://letterboxd.com/film/8-half/
Mishima: A Life in Four Chapters,1985,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/
Cinema Paradiso,1988,https://letterboxd.com/film/cinema-paradiso/
The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
Memories of Murder,2003,https://letterboxd.com/film/memories-of-murder/
"Sherlock, Jr.",1924,https://letterboxd.com/film/sherlock-jr/
Army of Shadows,1969,https://letterboxd.com/film/army-of-shadows/
La Haine,1995,https://letterboxd.com/film/la-haine/
Fight Club,1999,https://letterboxd.com/film/fight-club/
Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/
The 400 Blows,1959,https://letterboxd.com/film/the-400-blows/
The Given Word,1962,https://letterboxd.com/film/the-given-word/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
Nights of Cabiria,1957,https://letterboxd.com/film/nights-of-cabiria/
Bicycle Thieves,1948,https://letterboxd.com/film/bicycle-thieves/
Edvard Munch,1974,https://letterboxd.com/film/edvard-munch/
Casablanca,1942,https://letterboxd.com/film/casablanca/
Se7en,1995,https://letterboxd.com/film/se7en/
A Man Escaped,1956,https://letterboxd.com/film/a-man-escaped/
Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/
Star Wars,1977,https://letterboxd.com/film/star-wars/
Little Women,2019,https://letterboxd.com/film/little-women-2019/
The Lion King,1994,https://letterboxd.com/film/the-lion-king/
Yojimbo,1961,https://letterboxd.com/film/yojimbo/
Modern Times,1936,https://letterboxd.com/film/modern-times/
The Cranes Are Flying,1957,https://letterboxd.com/film/the-cranes-are-flying/
Chungking Express,1994,https://letterboxd.com/film/chungking-express/
All About Eve,1950,https://letterboxd.com/film/all-about-eve/
A Separation,2011,https://letterboxd.com/film/a-separation/
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
Eternity and a Day,1998,https://letterboxd.com/film/eternity-and-a-day/
Children of Paradise,1945,https://letterboxd.com/film/children-of-paradise/
