Name,Year,URL
Lady Bird,2017,https://letterboxd.com/film/lady-bird/
20th Century Women,2016,https://letterboxd.com/film/20th-century-women/
Lion,2016,https://letterboxd.com/film/lion/
The Last Black Man in San Francisco,2019,https://letterboxd.com/film/the-last-black-man-in-san-francisco/
The Peanut Butter Falcon,2019,https://letterboxd.com/film/the-peanut-butter-falcon/
"I, Daniel Blake",2016,https://letterboxd.com/film/i-daniel-blake/
Columbus,2017,https://letterboxd.com/film/columbus-2017/
The Farewell,2019,https://letterboxd.com/film/the-farewell-2019/
Mistress America,2015,https://letterboxd.com/film/mistress-america/
Mommy,2014,https://letterboxd.com/film/mommy-2014/
Skate Kitchen,2018,https://letterboxd.com/film/skate-kitchen/
Waiting,2020,https://letterboxd.com/film/film:618041/
While We're Young,2014,https://letterboxd.com/film/while-were-young/
The Big Sick,2017,https://letterboxd.com/film/the-big-sick/
Eighth Grade,2018,https://letterboxd.com/film/eighth-grade/
The Virgin Suicides,1999,https://letterboxd.com/film/the-virgin-suicides/
And Then We Danced,2019,https://letterboxd.com/film/and-then-we-danced/
Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/
Pride,2014,https://letterboxd.com/film/pride-2014/
The Straight Story,1999,https://letterboxd.com/film/the-straight-story/
Booksmart,2019,https://letterboxd.com/film/booksmart/
When Harry Met Sally...,1989,https://letterboxd.com/film/when-harry-met-sally/
Everybody Wants Some!!,2016,https://letterboxd.com/film/everybody-wants-some/
Sorry We Missed You,2019,https://letterboxd.com/film/sorry-we-missed-you/
Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
Palo Alto,2013,https://letterboxd.com/film/palo-alto/
Frances Ha,2012,https://letterboxd.com/film/frances-ha/
In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
Morvern Callar,2002,https://letterboxd.com/film/morvern-callar/
Pain and Glory,2019,https://letterboxd.com/film/pain-and-glory/
Matthias & Maxime,2019,https://letterboxd.com/film/matthias-maxime/
Monsoon,2019,https://letterboxd.com/film/monsoon-2019/
Respect,2017,https://letterboxd.com/film/respect-2017/
Tangerine,2015,https://letterboxd.com/film/tangerine/
Moonlight,2016,https://letterboxd.com/film/moonlight-2016/
Burning,2018,https://letterboxd.com/film/burning-2018/
A Smaller World,2020,https://letterboxd.com/film/a-smaller-world/
A Beautiful Day in the Neighborhood,2019,https://letterboxd.com/film/a-beautiful-day-in-the-neighborhood/
The Perks of Being a Wallflower,2012,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
American Honey,2016,https://letterboxd.com/film/american-honey/
The Florida Project,2017,https://letterboxd.com/film/the-florida-project/
Our Little Sister,2015,https://letterboxd.com/film/our-little-sister/
