Name,Year,URL
Under the Skin,2013,https://letterboxd.com/film/under-the-skin-2013/
"Salò, or the 120 Days of Sodom",1975,https://letterboxd.com/film/salo-or-the-120-days-of-sodom/
Victoria,2015,https://letterboxd.com/film/victoria-2015/
Primer,2004,https://letterboxd.com/film/primer/
The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/
Voyage of Time: Life's Journey,2016,https://letterboxd.com/film/voyage-of-time-lifes-journey/
Atman,1975,https://letterboxd.com/film/atman/
Masculin Féminin,1966,https://letterboxd.com/film/masculin-feminin/
Border,2018,https://letterboxd.com/film/border-2018/
A Ghost Story,2017,https://letterboxd.com/film/a-ghost-story-2017/
2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/
20th Century Women,2016,https://letterboxd.com/film/20th-century-women/
Twin Peaks: The Return,2017,https://letterboxd.com/film/twin-peaks-the-return/
Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
Love Exposure,2008,https://letterboxd.com/film/love-exposure/
Mandy,2018,https://letterboxd.com/film/mandy-2018/
Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/
Age Out,2018,https://letterboxd.com/film/age-out/
Beyond the Black Rainbow,2010,https://letterboxd.com/film/beyond-the-black-rainbow/
Three Transitions,1973,https://letterboxd.com/film/three-transitions/
Enter the Void,2009,https://letterboxd.com/film/enter-the-void/
Columbus,2017,https://letterboxd.com/film/columbus-2017/
Irreversible,2002,https://letterboxd.com/film/irreversible/
Under the Silver Lake,2018,https://letterboxd.com/film/under-the-silver-lake/
Lost Highway,1997,https://letterboxd.com/film/lost-highway/
All These Sleepless Nights,2016,https://letterboxd.com/film/all-these-sleepless-nights/
Inland Empire,2006,https://letterboxd.com/film/inland-empire/
The Neon Demon,2016,https://letterboxd.com/film/the-neon-demon/
Lady Bird,2017,https://letterboxd.com/film/lady-bird/
Let the Corpses Tan,2017,https://letterboxd.com/film/let-the-corpses-tan/
Upstream Color,2013,https://letterboxd.com/film/upstream-color/
Climax,2018,https://letterboxd.com/film/climax-2018/
Cold War,2018,https://letterboxd.com/film/cold-war-2018/
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://letterboxd.com/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/
Vox Lux,2018,https://letterboxd.com/film/vox-lux/
Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/
At Eternity's Gate,2018,https://letterboxd.com/film/at-eternitys-gate/
Love,2015,https://letterboxd.com/film/love-2015/
Yi Yi,2000,https://letterboxd.com/film/yi-yi/
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
The Favourite,2018,https://letterboxd.com/film/the-favourite/
Shoplifters,2018,https://letterboxd.com/film/shoplifters/
Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
The Thin Red Line,1998,https://letterboxd.com/film/the-thin-red-line/
Days of Heaven,1978,https://letterboxd.com/film/days-of-heaven/
"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
Call Me by Your Name,2017,https://letterboxd.com/film/call-me-by-your-name/
If Beale Street Could Talk,2018,https://letterboxd.com/film/if-beale-street-could-talk/
HyperNormalisation,2016,https://letterboxd.com/film/hypernormalisation/
Suspiria,2018,https://letterboxd.com/film/suspiria-2018/
Dancer in the Dark,2000,https://letterboxd.com/film/dancer-in-the-dark/
Solaris,1972,https://letterboxd.com/film/solaris/
Nostalgia,1983,https://letterboxd.com/film/nostalgia-1983/
A Woman Under the Influence,1974,https://letterboxd.com/film/a-woman-under-the-influence/
White Film,1978,https://letterboxd.com/film/white-film/
